packet_id,source,destination,source_ip,dest_ip,path,path_length,timestamp
0,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.0
1,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.001
2,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.002
3,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.003
4,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.004
5,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.005
6,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.006
7,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.007
8,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.008
9,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.009000000000000001
10,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.01
11,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.011
12,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.012
13,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.013000000000000001
14,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.014
15,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.015
16,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.016
17,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.017
18,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.018000000000000002
19,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.019
20,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.02
21,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.021
22,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.022
23,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.023
24,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.024
25,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.025
26,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.026000000000000002
27,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.027
28,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.028
29,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.029
30,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.03
31,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.031
32,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.032
33,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.033
34,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.034
35,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.035
36,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.036000000000000004
37,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.037
38,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.038
39,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.039
40,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.04
41,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.041
42,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.042
43,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.043000000000000003
44,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.044
45,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.045
46,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.046
47,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.047
48,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.048
49,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.049
50,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.05
51,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.051000000000000004
52,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.052000000000000005
53,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.053
54,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.054
55,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.055
56,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.056
57,host1,host4,192.170.1.1,192.171.1.1,host1 -> switch1 -> router1 -> router5 -> router8 -> router2 -> switch2 -> host4,8,0.057
